Date and current time,video time,frame position,video name, score



2021-08-25 13:42:45.637938,0:00:27,676.0,test_resized.ts,-0.9195402298850575
2021-08-25 13:42:53.103640,0:01:17.200000,1926.0,test_resized.ts,-0.9080459770114943
2021-08-25 13:43:00.845280,0:02:07.400000,3176.0,test_resized.ts,-0.9080459770114943
2021-08-25 13:43:09.109546,0:02:57.640000,4426.0,test_resized.ts,-0.9080459770114943
2021-08-25 13:47:39.023610,0:00:27,676.0,test_resized.ts,-0.9195402298850575
2021-08-25 13:47:46.752221,0:01:17.200000,1926.0,test_resized.ts,-0.9080459770114943
2021-08-25 13:47:54.479618,0:02:07.400000,3176.0,test_resized.ts,-0.9080459770114943
2021-08-25 13:48:02.278074,0:02:57.640000,4426.0,test_resized.ts,-0.9080459770114943
2021-08-25 13:58:58.817066,0:00:27,676.0,test_resized.ts,-0.9195402298850575
2021-08-25 13:59:07.206130,0:01:17.200000,1926.0,test_resized.ts,-0.9080459770114943
2021-08-25 13:59:15.475882,0:02:07.400000,3176.0,test_resized.ts,-0.9080459770114943
2021-08-25 13:59:23.454213,0:02:57.640000,4426.0,test_resized.ts,-0.9080459770114943
2021-10-03 23:17:26.913842,0:00:27,676.0,test_resized.ts,-0.896551724137931
2021-10-03 23:17:45.800367,0:01:17.200000,1926.0,test_resized.ts,-0.8390804597701149
2021-10-03 23:18:05.789062,0:02:07.400000,3176.0,test_resized.ts,-0.8390804597701149
2021-10-03 23:18:26.282161,0:02:57.640000,4426.0,test_resized.ts,-0.8390804597701149
2021-10-03 23:22:05.478712,0:00:27,676.0,test_resized.ts,-0.896551724137931
